#Wavelength	Counts	
747.87030	6091.96429
747.87036	6490.73171
747.87028	4535.31915
747.87033	4215.76763
747.87038	2619.32773
747.87048	3532.38095
747.87062	3079.66805
747.87074	2307.04225
747.87084	2403.26531
747.87097	1745.00000
747.87106	2131.42857
747.87112	1577.40586
747.87124	1437.66816
747.87134	1528.03347
747.87139	1519.23077
747.87140	1063.11475
747.87152	1204.16667
747.87151	1355.12195
747.87164	990.29126
747.87172	772.15190
747.87185	841.49378
747.87196	740.98361
747.87205	579.42387
747.87215	590.94650
747.87225	771.54812
747.87228	708.71369
747.87241	678.33333
747.87251	712.10762
747.87257	566.94215
747.87273	802.51046
747.87289	671.15385
747.87291	818.25726
747.87297	913.00813
747.87305	999.19028
747.87296	1606.80851
747.87293	1642.51208
747.87286	1246.66667
747.87279	1738.59649
747.87282	1184.86056
747.87275	1854.12844
747.87274	2287.60331
747.87271	2180.75314
747.87271	2583.73206
747.87278	2522.17573
747.87298	2994.95798
747.87322	3752.19512
747.87339	2625.10460
747.87353	3534.90566
747.87362	2800.83682
747.87373	4306.86275
747.87386	2403.34728
747.87395	2386.61088
747.87405	3305.30973
747.87414	2048.78049
747.87424	3178.74396
747.87441	1945.61404
747.87450	1692.11618
747.87458	2600.80972
747.87461	2102.09205
747.87466	2614.63415
747.87474	1641.17647
747.87488	2050.20576
747.87500	1871.42857
747.87509	1805.02092
747.87512	1265.15152
747.87518	1326.76056
747.87517	1091.21339
747.87511	1337.75934
747.87508	2023.18841
747.87509	1700.00000
747.87508	1046.21514
747.87511	1729.18660
747.87506	1539.09465
747.87510	1376.58537
747.87508	1363.10680
747.87509	1613.52657
747.87510	1505.83333
747.87516	1752.65700
747.87513	1794.20290
747.87516	1219.08397
747.87537	1189.25620
747.87547	1166.52720
747.87562	1326.35983
747.87566	1099.58506
747.87575	1460.48780
747.87587	968.85246
747.87601	1306.22010
747.87622	1115.35270
747.87635	1559.22330
747.87650	1343.45992
747.87658	1586.66667
747.87673	1328.97959
747.87675	965.97510
747.87688	1640.57971
747.87698	922.82158
747.87710	1625.10460
747.87712	1526.01626
747.87725	918.54839
747.87738	1269.52790
747.87745	1198.33333
747.87756	1204.93827
747.87761	497.16312
747.87762	488.70293
747.87761	817.79661
747.87763	787.55187
747.87761	869.45607
747.87762	490.61224
747.87777	394.14634
747.87793	541.52542
747.87806	725.92593
747.87808	706.50407
747.87813	402.50000
747.87818	798.34711
747.87827	546.44351
747.87841	356.60377
747.87851	672.42798
747.87855	696.91630
747.87865	613.95349
747.87874	511.93416
747.87876	541.74757
747.87884	439.18367
747.87891	511.83673
747.87900	398.36066
747.87913	291.73554
747.87918	340.08439
747.87940	270.53942
747.87953	247.80488
747.87967	300.00000
747.87977	210.08403
747.87987	141.32231
747.88007	245.49020
747.88018	218.33333
747.88027	115.44715
747.88047	205.88235
747.88061	251.23967
747.88070	117.29958
747.88078	106.72269
747.88079	91.42857
747.88081	123.33333
747.88106	288.70968
747.88139	427.86885
747.88178	378.60082
747.88200	265.83333
747.88204	132.23140
747.88206	103.41463
747.88209	179.74684
747.88231	114.28571
747.88261	128.87029
747.88315	86.30705
747.88342	85.59671
747.88364	117.64706
747.88372	133.05785
747.88381	155.27426
747.88379	108.29268
747.88378	117.99163
747.88381	116.87243
747.88398	145.60669
747.88409	157.84314
747.88423	174.24893
747.88444	173.66255
747.88466	224.16667
747.88473	239.83740
747.88490	344.07583
747.88498	187.60331
747.88506	204.85830
747.88514	292.36948
747.88526	394.87179
747.88529	287.70492
747.88538	156.14035
747.88539	95.11111
